"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"BNO","BIONOMICS LIMITED","1999-12-21","Pharmaceuticals, Biotechnology & Life Sciences",86655390
"BNR","BULLETIN RESOURCES LIMITED","2010-12-20","Materials",35110932
"BNZ","BENZ MINING CORP.","2020-12-23","Materials",57300440
"BOA","BOADICEA RESOURCES LIMITED","2012-10-11","Materials",7769990
"BOC","BOUGAINVILLE COPPER LIMITED","1970-12-31","Materials",110292188
"BOD","BOD AUSTRALIA LIMITED.","2016-10-27","Retailing",21930741
"BOE","BOSS ENERGY LTD","2007-07-25","Energy",877921366
"BOL","BOOM LOGISTICS LIMITED","2003-10-14","Capital Goods",59888389
"BOQ","BANK OF QUEENSLAND LIMITED.","1971-08-24","Banks",4841438774
"BOT","BOTANIX PHARMACEUTICALS LTD","1985-01-24","Pharmaceuticals, Biotechnology & Life Sciences",72828723
"BPH","BPH ENERGY LTD","2004-08-06","Pharmaceuticals, Biotechnology & Life Sciences",27618070
"BPM","BPM MINERALS LIMITED","2020-12-30","Materials",6000444
"BPP","BABYLON PUMP & POWER LIMITED","1996-12-13","Capital Goods",11059971
"BPT","BEACH ENERGY LIMITED","1972-06-30","Energy",4003740566
"BRB","BREAKER RESOURCES NL","2012-04-20","Materials",99474073
"BRG","BREVILLE GROUP LIMITED","1999-05-25","Consumer Durables & Apparel",2754252531
"BRI","BIG RIVER INDUSTRIES LIMITED","2017-05-01","Materials",179312121
"BRK","BROOKSIDE ENERGY LIMITED","2005-10-31","Energy",55135002
"BRL","BATHURST RESOURCES LIMITED.","2013-06-21","Materials",162655813
"BRN","BRAINCHIP HOLDINGS LTD","2011-11-09","Software & Services",1200169190
"BRU","BURU ENERGY LIMITED","2008-09-01","Energy",68544955
"BRX","BELARAROX LIMITED","2022-01-28","Materials",14696105
"BSA","BSA LIMITED","1999-11-15","Commercial & Professional Services",41760875
"BSE","BASE RESOURCES LIMITED","2008-10-02","Materials",265052666
"BSL","BLUESCOPE STEEL LIMITED","2002-07-15","Materials",7963505860
"BSN","BASIN ENERGY LIMITED","2022-10-04","Energy",13809048
"BST","BEST & LESS GROUP HOLDINGS LTD","2021-07-26","Retailing",284582931
"BSX","BLACKSTONE MINERALS LIMITED","2017-01-23","Materials",80448288
"BTC","BTC HEALTH LTD","2000-08-29","Not Applic",11837547
"BTE","BOTALA ENERGY LTD","2022-07-14","Energy",17704647
"BTH","BIGTINCAN HOLDINGS LIMITED","2017-03-24","Software & Services",403215612
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","2014-11-21","Diversified Financials",184874229
"BTN","BUTN LIMITED","2021-07-06","Diversified Financials",28805400
"BTR","BRIGHTSTAR RESOURCES LIMITED","2003-12-05","Materials",12968957
"BUB","BUBS AUSTRALIA LIMITED","1993-10-05","Food, Beverage & Tobacco",264736811
"BUD","BUDDY TECHNOLOGIES LTD","2006-12-18","Consumer Durables & Apparel","N/A"
"BUR","BURLEY MINERALS LTD","2021-07-07","Materials",16470000
"BUS","BUBALUS RESOURCES LIMITED","2022-10-13","Materials",6900659
"BUX","BUXTON RESOURCES LIMITED","2007-10-23","Materials",15559357
"BUY","BOUNTY OIL & GAS NL","2002-02-05","Energy",10964008
"BVR","BELLAVISTA RESOURCES LTD","2022-05-25","Materials",17375966
"BVS","BRAVURA SOLUTIONS LIMITED.","2016-11-16","Software & Services",189990812
"BWF","BLACKWALL LIMITED","2011-10-21","Diversified Financials",42841193
"BWP","BWP TRUST","1998-09-16","Real Estate",2588806726
"BWX","BWX LIMITED","2015-11-11","Household & Personal Products","N/A"
"BXB","BRAMBLES LIMITED","2006-11-27","Commercial & Professional Services",16316614588
"BXN","BIOXYNE LIMITED","2000-12-14","Household & Personal Products",13978553
"BYE","BYRON ENERGY LIMITED","2005-06-03","Energy",132470900
"BYH","BRYAH RESOURCES LIMITED","2017-10-17","Materials",7312590
"BYI","BEYOND INTERNATIONAL LIMITED","1987-06-12","Media & Entertainment",47229465
"C1X","COSMOS EXPLORATION LIMITED","2021-12-01","Materials",5425000
"C29","C29 METALS LIMITED","2021-11-03","Materials",11508923
"C6C","COPPER MOUNTAIN MINING CORPORATION","2018-04-06","Materials",377929792
"C79","CHRYSOS CORPORATION LIMITED","2022-05-06","Commercial & Professional Services",301150812
"C7A","CLARA RESOURCES AUSTRALIA LTD","2010-10-21","Materials",14216787
"CAA","CAPRAL LIMITED","1986-11-20","Materials",138584722
"CAD","CAENEUS MINERALS LTD","2000-07-11","Materials",21382420
"CAE","CANNINDAH RESOURCES LIMITED","2005-05-20","Materials",126092889
"CAF","CENTREPOINT ALLIANCE LIMITED","2002-06-25","Diversified Financials",47991063
"CAG","CAPE RANGE LTD","2017-11-30","Software & Services",13287162
"CAI","CALIDUS RESOURCES LIMITED","1987-03-13","Materials",159790322
"CAJ","CAPITOL HEALTH LIMITED","2006-06-09","Health Care Equipment & Services",324188228
"CAM","CLIME CAPITAL LIMITED","2004-02-03","Not Applic",120954332
"CAN","CANN GROUP LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences",82568472
"CAQ","CAQ HOLDINGS LIMITED","2005-07-25","Real Estate",18662443
"CAR","CARSALES.COM LIMITED.","2009-09-10","Media & Entertainment",7578159261
"CAT","CATAPULT GROUP INTERNATIONAL LTD","2014-12-19","Technology Hardware & Equipment",212330359
"CAU","CRONOS AUSTRALIA LIMITED","2019-11-07","Health Care Equipment & Services",352320766
"CAV","CARNAVALE RESOURCES LIMITED","2007-03-15","Materials",13667759
"CAY","CANYON RESOURCES LIMITED","2010-06-15","Materials",33286527
"CAZ","CAZALY RESOURCES LIMITED","2003-10-31","Materials",11495476
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","1991-09-12","Banks",182768406554
"CBE","COBRE LIMITED","2020-01-31","Materials",48890264
"CBH","COOLABAH METALS LIMITED","2022-07-28","Materials",6114000
"CBL","CONTROL BIONICS LIMITED","2020-12-07","Health Care Equipment & Services",15833830
"CBO","COBRAM ESTATE OLIVES LIMITED","2021-08-11","Food, Beverage & Tobacco",656983299
"CBR","CARBON REVOLUTION LIMITED","2019-11-29","Automobiles & Components","N/A"
"CBY","CANTERBURY RESOURCES LIMITED","2019-03-07","Materials",5226918
"CCA","CHANGE FINANCIAL LIMITED","2016-06-30","Software & Services",24641346
"CCE","CARNEGIE CLEAN ENERGY LIMITED","1993-10-26","Utilities",31285147
"CCG","COMMS GROUP LTD","2017-12-21","Telecommunication Services",27724387
"CCP","CREDIT CORP GROUP LIMITED","2000-09-04","Diversified Financials",1348404417
"CCR","CREDIT CLEAR LIMITED","2020-10-27","Software & Services",161444035
"CCV","CASH CONVERTERS INTERNATIONAL","1997-02-07","Diversified Financials",153748529
"CCX","CITY CHIC COLLECTIVE LIMITED","1998-05-28","Retailing",311168758
"CCZ","CASTILLO COPPER LIMITED","2010-12-14","Materials",24690602
"CD1","CD PRIVATE EQUITY FUND I","2012-08-14","Not Applic",30520235
"CD2","CD PRIVATE EQUITY FUND II","2013-04-09","Not Applic",60350949
"CD3","CD PRIVATE EQUITY FUND III","2016-07-27","Not Applic",97238367
"CDA","CODAN LIMITED","2003-11-27","Technology Hardware & Equipment",717425652
"CDD","CARDNO LIMITED","2004-05-20","Commercial & Professional Services",18163208
"CDM","CADENCE CAPITAL LIMITED","2006-12-05","Not Applic",279914893
"CDO","CADENCE OPPORTUNITIES FUND LIMITED.","2021-11-19","Not Applic",37611587
"CDP","CARINDALE PROPERTY TRUST","1996-11-28","Real Estate",312037155
"CDR","CODRUS MINERALS LIMITED","2021-06-23","Materials",10125001
"CDT","CASTLE MINERALS LIMITED","2006-05-02","Materials",22988339
"CDX","CARDIEX LIMITED","2005-11-09","Health Care Equipment & Services",37959545
"CE1","CALIMA ENERGY LIMITED","2006-07-28","Energy",82586354
"CEL","CHALLENGER EXPLORATION LIMITED","2007-11-07","Energy",167185800
"CEN","CONTACT ENERGY LIMITED","2015-09-24","Utilities",5286988098
"CF1","COMPLII FINTECH SOLUTIONS LTD","2001-12-18","Software & Services",34745486
"CFO","CFOAM LIMITED","2016-10-26","Capital Goods",1467681
"CG1","CARBONXT GROUP LIMITED","2018-01-23","Materials",23274937
"CGB","CANN GLOBAL LIMITED","2008-01-14","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"CGC","COSTA GROUP HOLDINGS LIMITED","2015-07-24","Food, Beverage & Tobacco",1277502782
"CGF","CHALLENGER LIMITED","2003-12-23","Diversified Financials",4931050352
"CGN","CRATER GOLD MINING LIMITED","2002-11-01","Materials","N/A"
"CGO","CPT GLOBAL LIMITED","2000-09-08","Software & Services",13996023
"CGS","COGSTATE LTD","2004-02-13","Health Care Equipment & Services",331260846
"CHC","CHARTER HALL GROUP","2005-06-10","Real Estate",6314512607
"CHK","COHIBA MINERALS LIMITED","2012-02-01","Materials",9765965
"CHL","CAMPLIFY HOLDINGS LIMITED","2021-06-28","Transportation",83023142
"CHM","CHIMERIC THERAPEUTICS LIMITED","2021-01-18","Pharmaceuticals, Biotechnology & Life Sciences",38165996
"CHN","CHALICE MINING LIMITED","2006-03-24","Materials",1862671110
"CHR","CHARGER METALS NL","2021-07-09","Materials",35963500
"CHZ","CHESSER RESOURCES LIMITED","2007-05-29","Materials",47049849
"CI1","CREDIT INTELLIGENCE LTD","2008-07-10","Commercial & Professional Services",13777361
"CIA","CHAMPION IRON LIMITED","2007-06-08","Materials",3134190344
"CII","CI RESOURCES LIMITED","1987-07-24","Materials","N/A"
"CIN","CARLTON INVESTMENTS LIMITED","1970-06-30","Not Applic",833952263
"CIO",,"1984-08-16","Technology Hardware & Equipment",
"CIP","CENTURIA INDUSTRIAL REIT","2012-12-13","Real Estate",1987332888
"CIW","CLIME INVESTMENT MANAGEMENT LTD","2000-12-15","Diversified Financials",37583042
"CKA","COKAL LIMITED","2000-04-17","Materials",178875306
"CKF","COLLINS FOODS LIMITED","2011-08-04","Consumer Services",1175450835
"CL8","CARLY HOLDINGS LIMITED","1996-09-09","Retailing",4291778
"CLA","CELSIUS RESOURCES LIMITED.","1988-03-24","Materials",22542436
"CLB","CANDY CLUB HOLDINGS LIMITED","2019-02-19","Food & Staples Retailing","N/A"
"CLE","CYCLONE METALS LIMITED","2001-06-07","Materials",9175105
"CLG","CLOSE THE LOOP LTD.","2021-12-02","Commercial & Professional Services",135857849
"CLH","COLLECTION HOUSE LIMITED","2000-10-04","Diversified Financials","N/A"
"CLT","CELLNET GROUP LIMITED","1999-11-17","Technology Hardware & Equipment",7064244
"CLU","CLUEY LTD","2020-12-09","Consumer Services",70522919
"CLV","CLOVER CORPORATION LIMITED","1999-11-30","Materials",207216942
"CLW","CHARTER HALL LONG WALE REIT","2016-11-08","Real Estate",3115938058
"CLX","CTI LOGISTICS LIMITED","1987-12-02","Transportation",103672103
"CLZ","CLASSIC MINERALS LTD","2013-05-24","Materials",9204791
"CM8","CROWD MEDIA HOLDINGS LIMITED","1999-12-16","Media & Entertainment",25282820
"CMD","CASSIUS MINING LIMITED","2006-08-10","Materials",12112227
"CMG","CRITICAL MINERALS GROUP LIMITED","2022-09-27","Materials",9256800
"CML","CHASE MINING CORPORATION LIMITED","2007-11-15","Materials",16515137
"CMM","CAPRICORN METALS LTD","2008-07-07","Materials",1626574555
"CMO","COSMO METALS LIMITED","2022-01-31","Materials",7576500
"CMP","COMPUMEDICS LIMITED","2000-12-21","Health Care Equipment & Services",39861663
"CMW","CROMWELL PROPERTY GROUP","1973-02-22","Real Estate",1872489690
"CMX","CHEMX MATERIALS LIMITED","2022-01-18","Materials",15771196
"CNB","CARNABY RESOURCES LIMITED","2016-08-30","Materials",114925911
"CNI","CENTURIA CAPITAL GROUP","2002-03-26","Real Estate",1473336265
"CNJ","CONICO LTD","2007-06-18","Materials",14549681
"CNQ","CLEAN TEQ WATER LIMITED","2021-07-02","Commercial & Professional Services",19476913
"CNR","CANNON RESOURCES LIMITED","2021-08-12","Materials",39372892
"CNU","CHORUS LIMITED","2011-11-21","Telecommunication Services",3384516983
"CNW","CIRRUS NETWORKS HOLDINGS LIMITED","2004-02-10","Software & Services",31620217
"COB","COBALT BLUE HOLDINGS LIMITED","2017-02-02","Materials",229501285
"COD","CODA MINERALS LTD","2020-10-28","Materials",35114021
"COE","COOPER ENERGY LIMITED","2002-03-13","Energy",525737387
"COF","CENTURIA OFFICE REIT","2014-12-10","Real Estate",946779036
"COG","COG FINANCIAL SERVICES LIMITED","2003-01-28","Diversified Financials",284031287
"COH","COCHLEAR LIMITED","1995-12-04","Health Care Equipment & Services",13649642990
"COI","COMET RIDGE LIMITED","2004-04-16","Energy",186919021
"COL","COLES GROUP LIMITED.","2018-11-21","Food & Staples Retailing",23060486131
"COO","CORUM GROUP LIMITED","1971-07-28","Software & Services",18518835
"COS","COSOL LIMITED","2020-01-24","Software & Services",97402609
"COY","COPPERMOLY LIMITED","2008-01-31","Materials",21939569
"CPH","CRESO PHARMA LIMITED","2016-10-20","Pharmaceuticals, Biotechnology & Life Sciences",42227015
"CPM","COOPER METALS LIMITED","2021-11-19","Materials",13110001
"CPN","CASPIN RESOURCES LIMITED","2020-11-25","Materials",55308125
"CPO","CULPEO MINERALS LIMITED","2021-09-10","Materials",8556420
"CPT","CIPHERPOINT LIMITED","2007-01-03","Software & Services",5803495
"CPU","COMPUTERSHARE LIMITED.","1994-05-27","Software & Services",16741414487
"CPV","CLEARVUE TECHNOLOGIES LIMITED","2018-05-25","Capital Goods",40481657
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","2003-05-22","Real Estate",1237167784
"CQR","CHARTER HALL RETAIL REIT","1995-11-15","Real Estate",2348167620
"CR1","CONSTELLATION RESOURCES LIMITED","2018-07-30","Materials",7485814
"CR9","CORELLA RESOURCES LTD","2008-01-15","Materials",11902545
"CRB","CARBINE RESOURCES LIMITED","2007-03-16","Materials",4797720
"CRD","CONRAD ASIA ENERGY LTD.","2022-10-27","Energy",216782626
"CRL","COMET RESOURCES LIMITED",,,"N/A"
"CRM","CARBON MINERALS LIMITED","1980-12-31","Energy","N/A"
"CRN","CORONADO GLOBAL RESOURCES INC.","2018-10-23","Materials",3352907460
"CRR","CRITICAL RESOURCES LIMITED","2010-12-03","Materials",82143691
"CRS","CAPRICE RESOURCES LTD","2018-12-05","Materials",3864503
"CSE","COPPER STRIKE LIMITED","2004-11-24","Materials",16614738
"CSF","CATALANO SEAFOOD LTD","2022-03-11","Food, Beverage & Tobacco",5608680
"CSL","CSL LIMITED","1994-06-08","Pharmaceuticals, Biotechnology & Life Sciences",143555760656
"CSR","CSR LIMITED","1962-03-31","Materials",2308753632
"CSS","CLEAN SEAS SEAFOOD LIMITED","2005-12-12","Food, Beverage & Tobacco",101776050
"CST","CASTILE RESOURCES LTD","2020-02-14","Materials",29028291
"CSX","CLEANSPACE HOLDINGS LIMITED","2020-10-23","Health Care Equipment & Services",36969371
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","1987-10-08","Technology Hardware & Equipment",5884801
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","2010-12-15","Consumer Services",2440713443
"CTE","CRYOSITE LIMITED","2002-05-09","Pharmaceuticals, Biotechnology & Life Sciences",36851220
"CTM","CENTAURUS METALS LIMITED","1989-01-12","Materials",512527528
"CTO","CITIGOLD CORPORATION LIMITED","1993-12-23","Materials",19835614
"CTP","CENTRAL PETROLEUM LIMITED","2006-03-07","Energy",59070096
"CTQ","CARETEQ LIMITED","2022-01-10","Health Care Equipment & Services",7166825
"CTT","CETTIRE LIMITED","2020-12-18","Retailing",510859215
"CTV","COLORTV LIMITED","2017-12-14","Media & Entertainment","N/A"
"CU6","CLARITY PHARMACEUTICALS LTD","2021-08-25","Pharmaceuticals, Biotechnology & Life Sciences",255373578
"CUE","CUE ENERGY RESOURCES LIMITED","1995-12-11","Energy",47472141
"CUF","CUFE LTD","2005-10-13","Materials",14491685
"CUL","CULLEN RESOURCES LIMITED","1988-11-23","Materials",6339115
"CUP","COUNTPLUS LIMITED","2010-12-22","Commercial & Professional Services",75958002
"CUS","COPPER SEARCH LIMITED","2021-09-15","Materials",15657509
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","2001-02-13","Pharmaceuticals, Biotechnology & Life Sciences",916067667
"CVC","CVC LIMITED","1985-06-27","Diversified Financials",233648188
"CVL","CIVMEC LIMITED","2018-06-22","Capital Goods",325810140
"CVN","CARNARVON ENERGY LIMITED","1984-08-16","Energy",270028036
"CVR","CAVALIER RESOURCES LIMITED","2022-06-17","Materials",6885088
"CVV","CARAVEL MINERALS LIMITED","2006-11-03","Materials",96412406
"CVW","CLEARVIEW WEALTH LIMITED","2003-12-11","Diversified Financials",320603744
"CWL","CONSOLIDATED FINANCIAL HOLDINGS LIMITED","2007-10-23","Software & Services","N/A"
"CWP","CEDAR WOODS PROPERTIES LIMITED","1994-08-31","Real Estate",353502729
"CWX","CARAWINE RESOURCES LIMITED","2017-12-14","Materials",17516755
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","2005-05-03","Commercial & Professional Services",6143760331
"CXL","CALIX LIMITED","2018-07-20","Materials",967491356
"CXM","CENTREX LIMITED","2006-07-19","Materials",91724100
"CXO","CORE LITHIUM LTD","2011-02-11","Materials",2665563158
"CXU","CAULDRON ENERGY LIMITED","2005-01-28","Energy",5354113
"CXX","CRADLE RESOURCES LIMITED","2011-09-16","Materials","N/A"
"CXZ","CONNEXION TELEMATICS LTD","1974-01-01","Software & Services",8539070
"CY5","CYGNUS GOLD LIMITED","2018-01-15","Materials",76423472
"CYC","CYCLOPHARM LIMITED","2007-01-18","Health Care Equipment & Services",120039436
"CYG","COVENTRY GROUP LIMITED","1966-01-27","Capital Goods",110827052
"CYL","CATALYST METALS LIMITED","2006-07-26","Materials",131931238
"CYM","CYPRIUM METALS LIMITED","1985-04-26","Materials",65717847
"CYP","CYNATA THERAPEUTICS LIMITED","2007-12-20","Pharmaceuticals, Biotechnology & Life Sciences",50146808
"CYQ","CYCLIQ GROUP LTD","2007-11-21","Consumer Durables & Apparel",2780133
"CZL","CONSOLIDATED ZINC LIMITED","2006-06-19","Materials",9721350
"CZN","CORAZON MINING LIMITED","2005-06-30","Materials",10985950
"CZR","CZR RESOURCES LTD","2006-08-29","Materials",57198802
"D2O","DUXTON WATER LIMITED","2016-09-16","Utilities",197087845
"DAF","DISCOVERY ALASKA LIMITED","2011-09-22","Materials",6727041
"DAL","DALAROO METALS LTD","2021-09-28","Materials",6210000
"DBF","DUXTON FARMS LTD","2018-02-08","Food, Beverage & Tobacco",62234323
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","2020-12-08","Transportation",1239404168
"DBO","DIABLO RESOURCES LIMITED","2021-10-12","Materials",4693500
"DC2","DC TWO LIMITED","2020-11-10","Software & Services",3312333
"DCC","DIGITALX LIMITED","1989-02-06","Software & Services",20129014
"DCG","DECMIL GROUP LIMITED","2005-04-22","Capital Goods",28751587
"DCL","DOMACOM LIMITED","2016-11-07","Diversified Financials","N/A"
"DCN","DACIAN GOLD LIMITED","2012-11-14","Materials",158184122
"DCX","DISCOVEX RESOURCES LIMITED","2007-12-13","Materials",9907704
"DDB","DYNAMIC GROUP HOLDINGS LIMITED","2020-08-06","Capital Goods",37674827
"DDH","DDH1 LIMITED","2021-03-09","Materials",379723642
"DDR","DICKER DATA LIMITED","2011-01-24","Technology Hardware & Equipment",1854248343
"DDT","DATADOT TECHNOLOGY LIMITED","2005-01-12","Automobiles & Components",7463217
"DEG","DE GREY MINING LIMITED","2002-07-03","Materials",1988415943
"DEL","DELOREAN CORPORATION LIMITED","2021-04-12","Utilities",17689115
"DEM","DE.MEM LIMITED","2017-04-07","Utilities",31772824
"DES","DESOTO RESOURCES LIMITED",,"Class Pend",0
"DEV","DEVEX RESOURCES LIMITED","2000-10-03","Energy",104269969
"DEX","DUKE EXPLORATION LIMITED","2020-11-10","Materials","N/A"
"DGH","DESANE GROUP HOLDINGS LIMITED","1987-09-04","Real Estate",36409891
"DGL","DGL GROUP LIMITED","2021-05-24","Materials",455793928
"DGR","DGR GLOBAL LIMITED","2003-08-21","Materials",63665302
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","2017-11-16","Media & Entertainment",1926554317
"DJW","DJERRIWARRH INVESTMENTS LIMITED","1995-06-28","Not Applic",771668241
"DKM","DUKETON MINING LIMITED","2014-08-04","Materials",46373465
"DLM","DOMINION MINERALS LIMITED","2004-03-19","Pharmaceuticals, Biotechnology & Life Sciences",11744226
"DLT","DELTA DRONE INTERNATIONAL LIMITED","2018-06-18","Technology Hardware & Equipment",5627654
"DM1","DESERT METALS LIMITED","2020-12-18","Materials",20850000
"DMC","DESIGN MILK CO LIMITED","1997-03-24","Retailing","N/A"
"DME","DOME GOLD MINES LIMITED","2013-10-22","Materials",82547072
"DMG","DRAGON MOUNTAIN GOLD LIMITED","2007-07-31","Materials",3946717
"DMM","DMC MINING LIMITED.","2021-12-22","Materials",6952500
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","2005-05-16","Consumer Services",5576549916
"DNA","DONACO INTERNATIONAL LIMITED","2004-12-23","Consumer Services",59298690
"DNK","DANAKALI LIMITED","2003-10-17","Materials",136283708
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","2020-12-04","Health Care Equipment & Services",24204962
"DOR","DORIEMUS PLC","2017-09-29","Energy","N/A"
"DOU","DOUUGH LIMITED","2004-06-15","Telecommunication Services",16950289
"DOW","DOWNER EDI LIMITED","1990-12-20","Commercial & Professional Services",3479920830
"DRA","DRA GLOBAL LIMITED","2021-07-09","Capital Goods",108820996
"DRE","DREADNOUGHT RESOURCES LTD","2006-10-31","Materials",288928886
"DRM","DEMETALLICA LIMITED","2022-05-26","Materials",39899196
"DRO","DRONESHIELD LIMITED","2016-06-22","Capital Goods",92463607
"DRR","DETERRA ROYALTIES LIMITED","2020-10-23","Materials",2383650925
"DRX","DIATREME RESOURCES LIMITED","2005-06-22","Materials",108163015
"DSE","DROPSUITE LIMITED","1985-12-12","Software & Services",151776260
"DSK","DUSK GROUP LIMITED","2020-11-02","Retailing",136366624
"DTC","DAMSTRA HOLDINGS LIMITED","2019-10-16","Software & Services",42519904
"DTI","DTI GROUP LTD","2014-12-09","Technology Hardware & Equipment",6728271
"DTL","DATA#3 LIMITED","1997-12-23","Software & Services",1043544492
"DTM","DART MINING NL","2007-05-10","Materials",10868211
"DTR","DATELINE RESOURCES LIMITED","2011-06-23","Materials",37659381
"DTZ","DOTZ NANO LIMITED","2007-12-13","Semiconductors & Semiconductor Equipment",114855655
"DUB","DUBBER CORPORATION LIMITED","2000-06-30","Software & Services",108808383
"DUG","DUG TECHNOLOGY LTD","2020-08-12","Software & Services",50202439
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","1991-12-19","Not Applic",1073017559
"DUN","DUNDAS MINERALS LIMITED","2021-11-10","Materials",19766672
"DUR","DURATEC LIMITED","2020-11-04","Capital Goods",124288041
"DVL","DORSAVI LTD","2013-12-11","Pharmaceuticals, Biotechnology & Life Sciences",5655081
"DVP","DEVELOP GLOBAL LIMITED","2007-04-27","Materials",474180378
"DVR","DIVERGER LIMITED","2005-08-02","Diversified Financials",38615956
"DW8","DW8 LIMITED","2001-04-04","Retailing",6203045
"DXB","DIMERIX LIMITED","1993-02-04","Pharmaceuticals, Biotechnology & Life Sciences",49735418
"DXC","DEXUS CONVENIENCE RETAIL REIT","2017-07-27","Real Estate",395361336
"DXI","DEXUS INDUSTRIA REIT.","2013-12-03","Real Estate",904219534
"DXN","DXN LIMITED","2018-04-11","Software & Services",7745917
"DXS","DEXUS","2004-10-06","Real Estate",8077494997
"DYL","DEEP YELLOW LIMITED","1985-12-19","Energy",515740804
"E25","ELEMENT 25 LIMITED","2006-11-09","Materials",201224499
"E2M","E2 METALS LIMITED","2017-04-19","Materials",25887202
"E33","EAST 33 LIMITED..","2021-07-29","Food, Beverage & Tobacco",18168104
"E79","E79 GOLD MINES LIMITED","2021-10-07","Materials",9240105
"EAI","ELLERSTON ASIAN INVESTMENTS LIMITED","2015-09-15","Not Applic",96978917
"EAX","ENERGY ACTION LIMITED","2011-10-13","Commercial & Professional Services",1943179
"EBG","EUMUNDI GROUP LIMITED","1989-12-07","Consumer Services",46886623
"EBO","EBOS GROUP LIMITED","2013-12-06","Health Care Equipment & Services",7293520022
"EBR","EBR SYSTEMS INC.","2021-11-24","Health Care Equipment & Services",121761639
"ECF","ELANOR COMMERCIAL PROPERTY FUND","2019-12-06","Real Estate",295980190
"ECG","ECARGO HOLDINGS LIMITED","2014-11-28","Commercial & Professional Services",9228750
"ECL","EXCELSIOR CAPITAL LTD","1993-04-22","Capital Goods",60888385
"ECP","ECP EMERGING GROWTH LIMITED","2014-08-14","Not Applic",18522479
"ECS","ECS BOTANICS HOLDINGS LTD","1986-03-13","Pharmaceuticals, Biotechnology & Life Sciences",23241344
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","1986-02-05","Commercial & Professional Services",27460027
"ECX","ECLIPX GROUP LIMITED","2015-04-22","Diversified Financials",577422896
"EDC","EILDON CAPITAL GROUP","2017-02-28","Diversified Financials",38264900
"EDE","EDEN INNOVATIONS LTD","2006-06-06","Energy",16267374
"EDU","EDU HOLDINGS LIMITED","2004-06-25","Consumer Services",31390744
"EDV","ENDEAVOUR GROUP LIMITED","2021-06-24","Food & Staples Retailing",12787597321
"EEG","EMPIRE ENERGY GROUP LIMITED","1984-08-30","Energy",158489835
"EEL","ENRG ELEMENTS LTD","2011-07-01","Materials",22272044
"EFE","EASTERN RESOURCES LIMITED","2008-05-16","Materials",46448184
"EGG","ENERO GROUP LIMITED","2004-04-30","Media & Entertainment",258689843
"EGH","EUREKA GROUP HOLDINGS LIMITED","2004-07-01","Real Estate",132157033
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","1981-02-12","Capital Goods",61307101
"EGN","ENGENCO LIMITED","2006-12-14","Capital Goods",146777369
"EGR","ECOGRAF LIMITED","2010-10-29","Materials",144106707
"EGY","ENERGY TECHNOLOGIES LIMITED","1992-10-22","Capital Goods",16336513
"EHE","ESTIA HEALTH LIMITED","2014-12-05","Health Care Equipment & Services",550309002
"EHL","EMECO HOLDINGS LIMITED","2006-07-28","Capital Goods",381466922
"EIQ","ECHOIQ LIMITED","2010-12-17","Software & Services",81492938
"EL8","ELEVATE URANIUM LTD","1985-10-23","Energy",117085680
"ELD","ELDERS LIMITED","1981-06-30","Food, Beverage & Tobacco",1599190586
"ELE","ELMORE LTD","1998-02-25","Materials",18849388
"ELO","ELMO SOFTWARE LIMITED","2017-06-29","Software & Services",465183305
"ELS","ELSIGHT LIMITED","2017-06-08","Technology Hardware & Equipment",48102266
"ELT","ELEMENTOS LIMITED","2009-12-23","Materials",51657402
"EM1","EMERGE GAMING LIMITED","1971-06-09","Media & Entertainment",14576053
"EM2","EAGLE MOUNTAIN MINING LIMITED","2018-03-16","Materials",45605061
"EMB","EMBELTON LIMITED","1974-01-01","Capital Goods",21578570
"EMD","EMYRIA LIMITED","2020-02-12","Health Care Equipment & Services",55258802
"EME","ENERGY METALS LTD","2005-09-09","Energy",34597746
"EMH","EUROPEAN METALS HOLDINGS LIMITED","2012-07-19","Materials",138601651
"EML","EML PAYMENTS LIMITED","2006-01-18","Software & Services",185122144
"EMN","EURO MANGANESE INC","2018-10-02","Materials",134373710
"EMP","EMPEROR ENERGY LIMITED","1987-06-05","Energy",7259287
"EMR","EMERALD RESOURCES NL","1994-07-22","Materials",670656111
"EMS","EASTERN METALS LIMITED","2021-10-25","Materials",5385181
"EMT","EMETALS LIMITED","2010-10-26","Not Applic",12750000
"EMU","EMU NL","2008-02-27","Materials",4810877
